tconst,num_seasons,num_episodes,long
tt0035599,1,1,0
tt0038276,1,7,0
tt0039120,1,4,0
tt0039122,1,6,0
tt0039123,9,589,1
tt0039124,1,3,0
tt0039125,1,17,0
tt0040021,2,65,0
tt0040022,1,1,0
tt0040026,1,4,0
tt0040027,1,4,0
tt0040028,1,51,0
tt0040032,1,2,0
tt0040033,1,36,0
tt0040034,1,13,0
tt0040036,2,82,0
tt0040037,1,2,0
tt0040038,1,40,0
tt0040040,1,3,0
tt0040041,8,263,1
tt0040042,3,82,0
tt0040043,1,1,0
tt0040046,1,5,0
tt0040047,1,2,0
tt0040048,9,1011,1
tt0040049,8,266,1
tt0040050,1,3,0
tt0040051,9,467,1
tt0040053,9,1070,1
tt0040057,5,217,1
tt0040993,1,18,0
tt0040994,1,23,0
tt0040995,1,4,0
tt0040996,1,19,0
tt0040997,1,6,0
tt0041002,7,47,1
tt0041003,1,3,0
tt0041004,1,2,0
tt0041005,2,25,0
tt0041006,1,6,0
tt0041007,9,318,1
tt0041008,1,35,0
tt0041009,1,20,0
tt0041014,6,126,1
tt0041015,3,163,0
tt0041016,4,78,0
tt0041018,2,52,0
tt0041019,1,2,0
tt0041021,1,41,0
tt0041022,2,29,0
tt0041023,7,272,1
tt0041024,5,195,1
tt0041025,1,18,0
tt0041026,1,3,0
tt0041027,5,91,1
tt0041028,1,3,0
tt0041030,2,52,0
tt0041031,1,15,0
tt0041032,1,1,0
tt0041034,2,44,0
tt0041035,1,29,0
tt0041036,1,27,0
tt0041037,4,160,0
tt0041038,5,221,1
tt0041039,8,336,1
tt0041040,5,126,1
tt0041042,5,241,1
tt0041043,1,7,0
tt0041044,2,20,0
tt0041045,1,49,0
tt0041047,1,6,0
tt0041048,1,17,0
tt0041049,3,100,0
tt0041050,3,137,0
tt0041051,1,1,0
tt0041053,1,39,0
tt0041054,1,6,0
tt0041056,1,1,0
tt0041057,1,5,0
tt0041058,1,1,0
tt0041061,6,262,1
tt0041062,5,244,1
tt0041063,1,3,0
tt0041064,1,2,0
tt0041065,4,52,0
tt0041066,1,2,0
tt0041068,2,22,0
tt0041069,9,282,1
tt0041070,1,6,0
tt0041071,2,2,0
tt0041073,1,13,0
tt0041076,1,26,0
tt0042068,1,13,0
tt0042069,5,126,1
tt0042070,4,106,0
tt0042073,1,1,0
tt0042074,9,404,1
tt0042078,9,323,1
tt0042080,3,95,0
tt0042081,4,79,0
tt0042082,1,18,0
tt0042083,6,249,1
tt0042084,2,35,0
tt0042086,1,25,0
tt0042087,1,14,0
tt0042088,1,6,0
tt0042089,2,88,0
tt0042091,1,3,0
tt0042092,3,58,0
tt0042093,6,156,1
tt0042094,6,223,1
tt0042097,3,23,0
tt0042098,5,225,1
tt0042099,1,12,0
tt0042100,2,48,0
tt0042101,1,13,0
tt0042102,1,129,0
tt0042104,1,428,0
tt0042105,2,24,0
tt0042106,4,121,0
tt0042107,2,62,0
tt0042109,6,174,1
tt0042110,5,91,1
tt0042111,8,292,1
tt0042112,1,1,0
tt0042113,2,16,0
tt0042114,1,39,0
tt0042115,1,7,0
tt0042116,9,261,1
tt0042117,2,55,0
tt0042118,1,2,0
tt0042119,4,88,0
tt0042121,1,2,0
tt0042122,1,3,0
tt0042123,7,337,1
tt0042124,1,2,0
tt0042125,1,3,0
tt0042126,1,1,0
tt0042127,1,26,0
tt0042129,1,1,0
tt0042130,1,212,0
tt0042132,1,39,0
tt0042133,1,12,0
tt0042134,1,1,0
tt0042135,1,7,0
tt0042137,1,13,0
tt0042138,2,52,0
tt0042139,3,98,0
tt0042141,8,320,1
tt0042142,6,257,1
tt0042144,3,47,0
tt0042145,3,64,0
tt0042146,1,8,0
tt0042147,1,5,0
tt0042148,2,76,0
tt0042149,2,4,0
tt0042150,1,6,0
tt0042151,4,130,0
tt0042152,1,20,0
