tconst,num_seasons,num_episodes,long
tt0039123,9,589,1
tt0040041,8,263,1
tt0040048,9,1011,1
tt0040049,8,266,1
tt0040051,9,467,1
tt0040053,9,1070,1
tt0040057,5,217,1
tt0041002,7,47,1
tt0041007,9,318,1
tt0041014,6,126,1
tt0041023,7,272,1
tt0041024,5,195,1
tt0041027,5,91,1
tt0041038,5,221,1
tt0041039,8,336,1
tt0041040,5,126,1
tt0041042,5,241,1
tt0041061,6,262,1
tt0041062,5,244,1
tt0041069,9,282,1
tt0042069,5,126,1
tt0042074,9,404,1
tt0042078,9,323,1
tt0042083,6,249,1
tt0042093,6,156,1
tt0042094,6,223,1
tt0042098,5,225,1
tt0042109,6,174,1
tt0042110,5,91,1
tt0042111,8,292,1
tt0042116,9,261,1
tt0042123,7,337,1
tt0042141,8,320,1
tt0042142,6,257,1
tt0042159,5,191,1
tt0042168,9,877,1
tt0042171,9,212,1
tt0042173,5,151,1
tt0043170,8,113,1
tt0043192,7,200,1
tt0043194,8,276,1
tt0043204,6,145,1
tt0043208,6,181,1
tt0043224,9,659,1
tt0043225,6,105,1
tt0043228,8,364,1
tt0043234,5,190,1
tt0044230,9,436,1
tt0044231,6,104,1
tt0044240,7,51,1
tt0044248,5,132,1
tt0044259,9,452,1
tt0044265,50,10527,1
tt0044270,9,1224,1
tt0044272,5,168,1
tt0044284,8,159,1
tt0044296,9,350,1
tt0045373,6,152,1
tt0045385,5,156,1
tt0045387,5,80,1
tt0045395,9,303,1
tt0045406,6,219,1
tt0045409,8,257,1
tt0045410,9,343,1
tt0045431,8,322,1
tt0045435,5,107,1
tt0045449,9,251,1
tt0045458,5,160,1
tt0046576,5,164,1
tt0046592,5,157,1
tt0046593,9,737,1
tt0046600,6,204,1
tt0046604,6,136,1
tt0046617,9,591,1
tt0046618,6,200,1
tt0046659,7,221,1
tt0047708,7,268,1
tt0047718,26,1272,1
tt0047720,7,108,1
tt0047728,9,432,1
tt0047734,5,116,1
tt0047736,9,635,1
tt0047749,9,1156,1
tt0047750,6,226,1
tt0047752,5,166,1
tt0047758,6,207,1
tt0048845,6,10345,1
tt0048881,5,43,1
tt0048899,5,165,1
tt0048904,5,188,1
tt0048907,9,2028,1
tt0048916,5,146,1
tt0049993,9,1668,1
tt0049996,5,157,1
tt0050012,6,59,1
tt0050025,6,225,1
tt0050030,5,1159,1
tt0050032,6,236,1
tt0050037,5,124,1
tt0050051,9,271,1
tt0050053,6,225,1
tt0050066,6,201,1
tt0050072,9,222,1
tt0050073,8,284,1
tt0050074,6,42,1
tt0051247,6,206,1
tt0051257,9,2594,1
tt0051267,8,275,1
tt0051276,7,227,1
tt0051308,5,168,1
tt0052447,9,128,1
tt0052451,9,430,1
tt0052504,8,217,1
tt0052507,5,163,1
tt0052515,5,77,1
tt0052520,5,156,1
tt0053479,8,249,1
tt0053489,7,153,1
tt0053499,9,118,1
tt0053502,6,167,1
tt0053525,9,380,1
tt0054518,7,161,1
tt0054519,5,153,1
tt0054533,5,158,1
tt0054535,5,192,1
tt0054545,5,154,1
tt0054546,7,60,1
tt0054557,6,145,1
tt0054560,6,1298,1
tt0054573,6,71,1
tt0055660,5,115,1
tt0055662,9,274,1
tt0055666,5,152,1
tt0055667,5,72,1
tt0055678,6,69,1
tt0055686,6,156,1
tt0055688,8,1748,1
tt0055691,9,4469,1
tt0055701,6,118,1
tt0055708,9,9812,1
tt0055710,9,249,1
tt0056749,9,164,1
tt0056751,9,695,1
tt0056773,5,44,1
tt0056780,7,222,1
tt0056792,5,45,1
tt0057733,8,254,1
tt0057742,6,165,1
tt0057752,5,150,1
tt0057755,7,194,1
tt0057768,5,39,1
tt0057779,5,514,1
tt0057783,5,52,1
tt0057785,8,57,1
tt0057802,8,729,1
tt0058797,9,263,1
tt0058801,9,241,1
tt0058805,5,139,1
tt0058808,6,170,1
tt0058812,6,168,1
tt0058815,5,139,1
tt0058842,7,87,1
tt0058853,9,175,1
tt0059981,9,93,1
tt0059982,5,138,1
tt0059990,5,62,1
tt0060009,7,171,1
tt0060034,5,137,1
tt0060035,7,53,1
tt0061232,5,33,1
tt0061240,9,286,1
tt0061266,8,195,1
tt0061277,8,194,1
tt0062539,7,174,1
tt0062552,9,80,1
tt0062558,5,128,1
tt0062560,7,45,1
tt0062562,8,104,1
tt0062568,9,281,1
tt0062570,6,144,1
tt0062588,9,896,1
tt0062589,5,123,1
tt0062592,7,45,1
tt0062595,43,4673,1
tt0062601,6,141,1
tt0062614,9,227,1
tt0063869,9,59,1
tt0063878,5,117,1
tt0063894,9,397,1
tt0063908,9,368,1
tt0063913,5,37,1
tt0063920,8,97,1
tt0063924,9,86,1
tt0063925,5,109,1
tt0063927,7,170,1
tt0063928,7,171,1
