tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0040053,9,1070,1,Toast of the Town,1948,1971,1,7.9,1514
tt0041038,5,221,1,The Lone Ranger,1949,1957,1,7.7,2757
tt0042111,8,292,1,The George Burns and Gracie Allen Show,1950,1958,1,8.6,1503
tt0042114,1,39,0,The Honeymooners,1955,1956,0,8.6,6004
tt0042116,9,261,1,The Jack Benny Program,1950,1965,1,8.6,1591
tt0042168,9,877,1,What's My Line?,1950,1967,1,8.5,1722
tt0043194,8,276,1,Dragnet,1951,1959,1,7.5,2284
tt0043208,6,181,1,I Love Lucy,1951,1957,1,8.5,28103
tt0043224,9,659,1,The Red Skelton Show,1951,2016,1,8.1,1346
tt0044229,2,52,0,The Abbott and Costello Show,1952,1957,0,8.1,1299
tt0044230,9,436,1,The Adventures of Ozzie and Harriet,1952,1966,1,7.4,1530
tt0044231,6,104,1,Adventures of Superman,1952,1958,1,7.7,4291
tt0044265,50,10527,1,The Guiding Light,1952,2009,1,6.5,1802
tt0044298,1,9870,0,Today,1952,\N,0,4.6,2384
tt0045410,9,343,1,Make Room for Daddy,1953,1965,1,7.1,1195
tt0046415,1,2,0,Le comte de Monte-Cristo,1954,1954,0,7.1,1042
tt0046593,9,737,1,Disneyland,1954,1997,1,8.4,2194
tt0046600,6,204,1,Father Knows Best,1954,1960,1,7.4,2532
tt0046617,9,591,1,Lassie,1954,1974,1,6.5,3662
tt0046642,1,39,0,Sherlock Holmes,1954,1955,0,7.5,1043
tt0047708,7,268,1,Alfred Hitchcock Presents,1955,1962,1,8.5,18652
tt0047718,26,1272,1,Captain Kangaroo,1955,1992,1,8,1531
tt0047720,7,108,1,Cheyenne,1955,1963,1,8,1951
tt0047736,9,635,1,Gunsmoke,1955,1975,1,8.1,8246
tt0047739,4,156,0,Highway Patrol,1955,1959,0,7.7,1446
tt0047750,6,226,1,The Life and Legend of Wyatt Earp,1955,1961,1,7.6,1064
tt0047763,4,143,0,The Phil Silvers Show,1955,1959,0,8.4,1685
tt0048845,6,10345,1,As the World Turns,1956,2010,1,6.2,2213
tt0050022,3,125,0,The Gumby Show,1956,1969,0,7,1562
tt0050025,6,225,1,Have Gun - Will Travel,1957,1963,1,8.4,3149
tt0050032,6,236,1,Leave It to Beaver,1957,1963,1,7.6,9010
tt0050033,3,13,0,The Lucy-Desi Comedy Hour,1957,1960,0,8.3,1229
tt0050037,5,124,1,Maverick,1957,1962,1,8,3497
tt0050051,9,271,1,Perry Mason,1957,1966,1,8.3,10929
tt0050053,6,225,1,The Real McCoys,1957,1963,1,7.6,1231
tt0050066,6,201,1,Tales of Wells Fargo,1957,1962,1,7.9,1115
tt0050073,8,284,1,Wagon Train,1957,1965,1,7.5,3576
tt0050079,3,82,0,Zorro,1957,1959,0,8.2,3948
tt0051247,6,206,1,77 Sunset Strip,1958,1964,1,7.7,1577
tt0051267,8,275,1,The Donna Reed Show,1958,1966,1,7.4,1805
tt0051283,4,70,0,The Huckleberry Hound Show,1958,1962,0,6.6,3815
tt0051297,4,138,0,Naked City,1958,1963,0,8.2,1362
tt0051301,3,114,0,Peter Gunn,1958,1961,0,8.1,1550
tt0051305,1,6,0,Quatermass and the Pit,1958,1959,0,8,1160
tt0051308,5,168,1,The Rifleman,1958,1963,1,8.3,4734
tt0051311,4,155,0,Sea Hunt,1958,1961,0,7.7,1362
tt0051327,3,94,0,Wanted: Dead or Alive,1958,1961,0,8,2647
tt0052442,3,97,0,One Step Beyond,1959,1961,0,7.8,1791
tt0052445,3,108,0,Bat Masterson,1958,1961,0,7.3,1154
tt0052451,9,430,1,Bonanza,1959,1973,1,7.3,10461
tt0052461,4,146,0,Dennis the Menace,1959,1963,0,7,2447
tt0052481,4,124,0,Laramie,1959,1963,0,7.7,1393
tt0052490,4,148,0,The Many Loves of Dobie Gillis,1959,1963,0,7.7,1983
tt0052504,8,217,1,Rawhide,1959,1965,1,8,4402
tt0052507,5,163,1,Rocky and His Friends,1959,1963,1,7.8,4452
tt0052520,5,156,1,The Twilight Zone,1959,1964,1,9.1,89568
tt0052522,4,119,0,The Untouchables,1959,1963,0,8,2962
tt0053479,8,249,1,The Andy Griffith Show,1960,1968,1,8.4,16319
tt0053488,3,78,0,The Bugs Bunny Show,1960,1975,0,8.6,35089
tt0053494,1,10726,0,Coronation Street,1960,\N,0,5.6,5824
tt0053496,1,39,0,Danger Man,1960,1961,0,7.9,1335
tt0053502,6,167,1,The Flintstones,1960,1966,1,7.5,39739
tt0053525,9,380,1,My Three Sons,1960,1972,1,7.1,4225
tt0053534,4,116,0,Route 66,1960,1964,0,7.7,1877
tt0053546,2,67,0,Thriller,1960,1962,0,8.2,1592
tt0054518,7,161,1,The Avengers,1961,1969,1,8.3,8560
tt0054528,2,60,0,"Car 54, Where Are You?",1961,1963,0,7.7,1821
tt0054533,5,158,1,The Dick Van Dyke Show,1961,1966,1,8.4,11478
tt0054545,5,154,1,Hazel,1961,1966,1,7.2,2022
tt0054557,6,145,1,Mister Ed,1961,1966,1,6.9,4518
tt0054572,1,30,0,Top Cat,1961,1962,0,7.1,7872
tt0055657,3,93,0,The Alfred Hitchcock Hour,1962,1965,0,8.5,4993
tt0055662,9,274,1,The Beverly Hillbillies,1962,1971,1,7.2,10610
tt0055666,5,152,1,Combat!,1962,1967,1,8.4,3004
tt0055683,3,75,0,The Jetsons,1962,1963,0,7,23056
tt0055686,6,156,1,The Lucy Show,1962,1968,1,7.2,3036
tt0055689,4,138,0,McHale's Navy,1962,1966,0,7.4,3155
tt0055701,6,118,1,The Saint,1962,1969,1,7.5,5973
tt0055708,9,9812,1,The Tonight Show Starring Johnny Carson,1962,1992,1,8.5,4136
tt0055710,9,249,1,The Virginian,1962,1971,1,7.6,3032
tt0056739,1,106,0,Astro Boy,1963,1965,0,7.4,1007
tt0056751,9,695,1,Doctor Who,1963,1989,1,8.4,38473
tt0056757,4,120,0,The Fugitive,1963,1967,0,8.1,4499
tt0056758,1,12428,0,General Hospital,1963,\N,0,6.6,5345
tt0056775,3,107,0,My Favorite Martian,1963,1966,0,7.2,2886
tt0056777,2,49,0,The Outer Limits,1963,1965,0,8.2,9015
tt0056778,3,105,0,The Patty Duke Show,1963,1966,0,7.2,1494
tt0056780,7,222,1,Petticoat Junction,1963,1970,1,7,3481
tt0057729,2,64,0,The Addams Family,1964,1966,0,8,21106
tt0057730,1,26,0,Jonny Quest,1964,1965,0,7.8,5148
tt0057731,1,6551,0,Another World,1964,1999,0,7,1103
tt0057733,8,254,1,Bewitched,1964,1972,1,7.6,23453
tt0057742,6,165,1,Daniel Boone,1964,1970,1,7.3,2247
tt0057748,3,88,0,Flipper,1964,1967,0,6.3,2808
tt0057751,3,99,0,Gilligan's Island,1963,1967,0,7.4,16242
tt0057752,5,150,1,Gomer Pyle: USMC,1964,1969,1,7,4036
tt0057765,4,105,0,The Man from U.N.C.L.E.,1964,1968,0,7.7,6015
tt0057773,2,72,0,The Munsters,1964,1966,0,7.8,16393
tt0057785,8,57,1,Steptoe and Son,1962,1974,1,7.8,3312
tt0057786,1,40,0,Stingray,1964,1965,0,7.3,1371
tt0057790,2,32,0,Thunderbirds,1965,1966,0,7.9,4936
tt0057793,3,78,0,12 O'Clock High,1964,1967,0,8.1,1404
tt0057796,1,13,0,Vi på Saltkråkan,1964,1964,0,7.1,1702
tt0057798,4,110,0,Voyage to the Bottom of the Sea,1964,1968,0,7.2,4052
tt0058789,2,26,0,The Atom Ant Show,1965,1968,0,6.4,2256
tt0058791,4,112,0,The Big Valley,1965,1969,0,7.6,3367
tt0058796,1,14700,0,Days of Our Lives,1965,\N,0,5.2,7231
tt0058797,9,263,1,The Dean Martin Show,1965,1974,1,8.1,1394
tt0058800,2,65,0,F Troop,1965,1967,0,7.4,3208
tt0058801,9,241,1,The F.B.I.,1965,1974,1,7.4,1230
tt0058805,5,139,1,Get Smart,1965,1970,1,8.2,13396
tt0058806,1,32,0,Gidget,1965,1966,0,6.8,1714
tt0058808,6,170,1,Green Acres,1965,1971,1,7.3,7373
tt0058812,6,168,1,Hogan's Heroes,1965,1971,1,7.8,11751
tt0058815,5,139,1,I Dream of Jeannie,1965,1970,1,7.4,16885
tt0058816,3,82,0,I Spy,1965,1968,0,7.2,2407
tt0058817,1,52,0,Janguru taitei,1965,1967,0,6.9,1070
tt0058824,3,84,0,Lost in Space,1965,1968,0,7.2,8519
tt0058846,3,49,0,Danger Man,1964,1967,0,8.2,1481
tt0058847,2,27,0,The Secret Squirrel Show,1965,2003,0,6.7,1636
tt0058855,4,104,0,The Wild Wild West,1965,1969,0,8.1,6090
tt0059968,3,120,0,Batman,1966,1968,0,7.5,25117
tt0059973,1,32,0,Captain Scarlet and the Mysterons,1967,1968,0,7.8,1833
tt0059977,4,89,0,Daktari,1966,1969,0,7,1113
tt0059978,1,1230,0,Dark Shadows,1966,1971,0,8.1,5208
tt0059982,5,138,1,Family Affair,1966,1971,1,7,3132
tt0059991,1,27,0,The Green Hornet,1966,1967,0,7.4,3155
tt0060004,2,31,0,The Magilla Gorilla Show,1964,1967,0,6.2,1981
tt0060009,7,171,1,Mission: Impossible,1966,1973,1,7.9,10905
tt0060010,2,59,0,The Monkees,1965,1968,0,7.5,4971
tt0060018,2,58,0,The Rat Patrol,1966,1968,0,7.4,1913
tt0060019,1,52,0,The Road Runner Show,1966,1973,0,7.9,12712
tt0060025,3,208,0,Skippy,1968,1970,0,6.3,1132
tt0060026,1,64,0,Space Ghost,1966,1968,0,7.3,2025
tt0060028,3,80,0,Star Trek,1966,1969,0,8.4,89861
tt0060033,2,60,0,Tarzan,1966,1968,0,7.1,1142
tt0060034,5,137,1,That Girl,1966,1971,1,7.2,3108
tt0060036,1,30,0,The Time Tunnel,1966,1967,0,7.5,4057
tt0060037,3,124,0,Underdog,1964,1973,0,7.2,2565
tt0061237,1,61,0,Birdman,1967,1987,0,6.7,1062
tt0061240,9,286,1,The Carol Burnett Show,1967,1978,1,8.7,7016
tt0061248,4,98,0,Dragnet 1967,1967,1970,0,7.7,3301
tt0061250,1,20,0,Fantastic 4,1967,1968,0,6.6,1570
tt0061252,3,82,0,The Flying Nun,1967,1970,0,6.5,2696
tt0061253,1,26,0,The Forsyte Saga,1967,1967,0,8.5,1078
tt0061256,1,18,0,George of the Jungle,1967,1970,0,6.7,1231
tt0061262,2,47,0,The Herculoids,1967,1969,0,7.4,1261
tt0061263,4,97,0,The High Chaparral,1967,1971,0,7.6,2271
