tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0040053,9,1070,1,Toast of the Town,1948,1971,1,7.9,1514
tt0041038,5,221,1,The Lone Ranger,1949,1957,1,7.7,2757
tt0042111,8,292,1,The George Burns and Gracie Allen Show,1950,1958,1,8.6,1503
tt0042116,9,261,1,The Jack Benny Program,1950,1965,1,8.6,1591
tt0042168,9,877,1,What's My Line?,1950,1967,1,8.5,1722
tt0043194,8,276,1,Dragnet,1951,1959,1,7.5,2284
tt0043208,6,181,1,I Love Lucy,1951,1957,1,8.5,28103
tt0043224,9,659,1,The Red Skelton Show,1951,2016,1,8.1,1346
tt0044230,9,436,1,The Adventures of Ozzie and Harriet,1952,1966,1,7.4,1530
tt0044231,6,104,1,Adventures of Superman,1952,1958,1,7.7,4291
tt0044265,50,10527,1,The Guiding Light,1952,2009,1,6.5,1802
tt0045410,9,343,1,Make Room for Daddy,1953,1965,1,7.1,1195
tt0046593,9,737,1,Disneyland,1954,1997,1,8.4,2194
tt0046600,6,204,1,Father Knows Best,1954,1960,1,7.4,2532
tt0046617,9,591,1,Lassie,1954,1974,1,6.5,3662
tt0047708,7,268,1,Alfred Hitchcock Presents,1955,1962,1,8.5,18652
tt0047718,26,1272,1,Captain Kangaroo,1955,1992,1,8,1531
tt0047720,7,108,1,Cheyenne,1955,1963,1,8,1951
tt0047736,9,635,1,Gunsmoke,1955,1975,1,8.1,8246
tt0047750,6,226,1,The Life and Legend of Wyatt Earp,1955,1961,1,7.6,1064
tt0048845,6,10345,1,As the World Turns,1956,2010,1,6.2,2213
tt0050025,6,225,1,Have Gun - Will Travel,1957,1963,1,8.4,3149
tt0050032,6,236,1,Leave It to Beaver,1957,1963,1,7.6,9010
tt0050037,5,124,1,Maverick,1957,1962,1,8,3497
tt0050051,9,271,1,Perry Mason,1957,1966,1,8.3,10929
tt0050053,6,225,1,The Real McCoys,1957,1963,1,7.6,1231
tt0050066,6,201,1,Tales of Wells Fargo,1957,1962,1,7.9,1115
tt0050073,8,284,1,Wagon Train,1957,1965,1,7.5,3576
tt0051247,6,206,1,77 Sunset Strip,1958,1964,1,7.7,1577
tt0051267,8,275,1,The Donna Reed Show,1958,1966,1,7.4,1805
tt0051308,5,168,1,The Rifleman,1958,1963,1,8.3,4734
tt0052451,9,430,1,Bonanza,1959,1973,1,7.3,10461
tt0052504,8,217,1,Rawhide,1959,1965,1,8,4402
tt0052507,5,163,1,Rocky and His Friends,1959,1963,1,7.8,4452
tt0052520,5,156,1,The Twilight Zone,1959,1964,1,9.1,89568
tt0053479,8,249,1,The Andy Griffith Show,1960,1968,1,8.4,16319
tt0053502,6,167,1,The Flintstones,1960,1966,1,7.5,39739
tt0053525,9,380,1,My Three Sons,1960,1972,1,7.1,4225
tt0054518,7,161,1,The Avengers,1961,1969,1,8.3,8560
tt0054533,5,158,1,The Dick Van Dyke Show,1961,1966,1,8.4,11478
tt0054545,5,154,1,Hazel,1961,1966,1,7.2,2022
tt0054557,6,145,1,Mister Ed,1961,1966,1,6.9,4518
tt0055662,9,274,1,The Beverly Hillbillies,1962,1971,1,7.2,10610
tt0055666,5,152,1,Combat!,1962,1967,1,8.4,3004
tt0055686,6,156,1,The Lucy Show,1962,1968,1,7.2,3036
tt0055701,6,118,1,The Saint,1962,1969,1,7.5,5973
tt0055708,9,9812,1,The Tonight Show Starring Johnny Carson,1962,1992,1,8.5,4136
tt0055710,9,249,1,The Virginian,1962,1971,1,7.6,3032
tt0056751,9,695,1,Doctor Who,1963,1989,1,8.4,38473
tt0056780,7,222,1,Petticoat Junction,1963,1970,1,7,3481
tt0057733,8,254,1,Bewitched,1964,1972,1,7.6,23453
tt0057742,6,165,1,Daniel Boone,1964,1970,1,7.3,2247
tt0057752,5,150,1,Gomer Pyle: USMC,1964,1969,1,7,4036
tt0057785,8,57,1,Steptoe and Son,1962,1974,1,7.8,3312
tt0058797,9,263,1,The Dean Martin Show,1965,1974,1,8.1,1394
tt0058801,9,241,1,The F.B.I.,1965,1974,1,7.4,1230
tt0058805,5,139,1,Get Smart,1965,1970,1,8.2,13396
tt0058808,6,170,1,Green Acres,1965,1971,1,7.3,7373
tt0058812,6,168,1,Hogan's Heroes,1965,1971,1,7.8,11751
tt0058815,5,139,1,I Dream of Jeannie,1965,1970,1,7.4,16885
tt0059982,5,138,1,Family Affair,1966,1971,1,7,3132
tt0060009,7,171,1,Mission: Impossible,1966,1973,1,7.9,10905
tt0060034,5,137,1,That Girl,1966,1971,1,7.2,3108
tt0061240,9,286,1,The Carol Burnett Show,1967,1978,1,8.7,7016
tt0061266,8,195,1,Ironside,1967,1975,1,6.9,3911
tt0061277,8,194,1,Mannix,1967,1975,1,7.4,4018
tt0062539,7,174,1,Adam-12,1968,1975,1,7.7,4738
tt0062552,9,80,1,Dad's Army,1968,1977,1,8.1,6967
tt0062568,9,281,1,Hawaii Five-O,1968,1980,1,7.4,7848
tt0062570,6,144,1,Here's Lucy,1968,1974,1,6.9,1733
tt0062588,9,896,1,Mister Rogers' Neighborhood,1968,2001,1,8.7,9305
tt0062589,5,123,1,The Mod Squad,1968,1973,1,6.9,2231
tt0062595,43,4673,1,One Life to Live,1968,2013,1,6.9,2572
tt0062601,6,141,1,Laugh-In,1967,1973,1,8,3482
tt0063869,9,59,1,The Benny Hill Show,1969,1989,1,7.6,5347
tt0063878,5,117,1,The Brady Bunch,1969,1974,1,6.8,15197
tt0063908,9,368,1,Hee Haw,1969,1997,1,7,1734
tt0063925,5,109,1,"Love, American Style",1969,1974,1,6.8,2375
tt0063927,7,170,1,"Marcus Welby, M.D.",1969,1976,1,7,1718
tt0063930,9,70,1,The Morecambe & Wise Show,1968,1977,1,8.1,1032
tt0063936,7,74,1,On the Buses,1969,1973,1,7,2551
tt0063948,5,113,1,Room 222,1969,1974,1,7.7,1131
tt0063951,9,3090,1,Sesame Street,1969,Ongoing,1,8.1,14852
tt0065272,39,9691,1,All My Children,1970,2011,1,6.8,3143
tt0065296,9,76,1,The Goodies,1970,1982,1,7.7,1823
tt0065314,7,168,1,Mary Tyler Moore,1970,1977,1,8.3,9803
tt0065317,7,46,1,McCloud,1970,1977,1,6.9,3601
tt0065323,9,881,1,NFL Monday Night Football,1970,Ongoing,1,8.2,1531
tt0065329,5,114,1,The Odd Couple,1970,1975,1,7.9,6924
tt0066626,9,207,1,All in the Family,1971,1979,1,8.4,17987
tt0066633,6,65,1,Bless This House,1971,1976,1,6.9,1035
tt0066636,5,120,1,Cannon,1971,1976,1,6.8,3477
tt0066651,6,780,1,The Electric Company,1971,1977,1,8.1,2223
tt0066685,6,40,1,McMillan & Wife,1971,1977,1,7.2,2877
tt0066721,9,93,1,The Two Ronnies,1971,1987,1,7.8,3486
tt0066722,5,68,1,"Upstairs, Downstairs",1971,1975,1,8.4,3440
tt0068040,9,69,1,Are You Being Served?,1972,1985,1,8,8924
tt0068049,6,142,1,The Bob Newhart Show,1972,1978,1,8.1,6468
tt0068067,7,131,1,Emergency!,1972,1979,1,7.9,5779
tt0068072,8,86,1,Fat Albert and the Cosby Kids,1972,1985,1,6.7,2545
tt0068098,9,251,1,M*A*S*H,1972,1983,1,8.5,61387
tt0068103,6,141,1,Maude,1972,1978,1,7.3,4533
tt0068120,9,9516,1,The New Price Is Right,1972,Ongoing,1,7.5,4168
tt0068128,6,137,1,Sanford and Son,1972,1978,1,7.9,10362
tt0068135,5,120,1,The Streets of San Francisco,1972,1977,1,7.3,6529
tt0068149,9,212,1,The Waltons,1972,1981,1,7.6,8651
tt0069557,8,178,1,Barnaby Jones,1973,1980,1,6.9,2939
tt0069599,5,117,1,Kojak,1973,1978,1,7.1,8468
tt0069602,9,294,1,Last of the Summer Wine,1973,2010,1,7.1,3494
tt0069607,6,39,1,Man About the House,1973,1976,1,7.2,1506
tt0069608,9,1440,1,Match Game 73,1973,1990,1,8.3,2405
tt0069620,6,97,1,Police Story,1973,1980,1,7.5,1101
tt0069627,7,65,1,Schoolhouse Rock!,1973,2009,1,8.2,4225
tt0069641,9,93,1,Super Friends,1973,1985,1,7.2,4431
tt0070981,9,281,1,Derrick,1974,1998,1,6.6,1753
tt0070991,6,133,1,Good Times,1974,1979,1,7.4,7802
tt0070992,9,255,1,Happy Days,1974,1984,1,7.4,20340
tt0071007,9,204,1,Little House on the Prairie,1974,1983,1,7.5,25585
tt0071040,5,109,1,Rhoda,1974,1978,1,6.8,2821
tt0071042,6,119,1,The Rockford Files,1974,1980,1,8.2,10287
tt0071054,5,99,1,The Six Million Dollar Man,1974,1978,1,7.1,12333
tt0072472,8,171,1,Barney Miller,1975,1982,1,8.3,7020
tt0072506,49,5031,1,Good Morning America,1975,Ongoing,1,4.5,1961
tt0072519,9,253,1,The Jeffersons,1975,1985,1,7.5,10246
tt0072554,9,209,1,One Day at a Time,1975,1984,1,6.6,5010
tt0072562,9,953,1,Saturday Night Live,1975,Ongoing,1,8,51148
tt0072584,9,7791,1,Wheel of Fortune,1983,Ongoing,1,6.7,3458
tt0073955,9,202,1,Alice,1976,1985,1,6.8,5275
tt0073972,5,110,1,Charlie's Angels,1976,1981,1,6.5,13840
tt0073991,9,2344,1,Family Feud,1976,1985,1,7.1,2340
tt0073992,5,86,1,Family,1976,1980,1,7.7,1933
tt0073995,5,38,1,George & Mildred,1976,1979,1,7.2,1638
tt0074007,6,144,1,In Search of...,1977,1982,1,8.5,1082
tt0074016,8,178,1,Laverne & Shirley,1976,1983,1,7,8479
tt0074028,5,120,1,The Muppet Show,1976,1981,1,8.4,25710
tt0074035,8,91,1,The Onedin Line,1971,1980,1,7.6,1073
tt0074042,8,148,1,Quincy M.E.,1976,1983,1,7.3,6989
tt0075472,7,90,1,All Creatures Great & Small,1978,1990,1,8.4,4136
tt0075488,6,139,1,CHiPs,1977,1983,1,6.4,10941
tt0075500,5,112,1,Eight Is Enough,1977,1981,1,6.6,3605
tt0075512,9,601,1,Grange Hill,1978,2008,1,7.1,1590
tt0075528,5,114,1,Lou Grant,1977,1982,1,7.3,2308
tt0075529,9,250,1,The Love Boat,1977,1987,1,6.2,12954
tt0075561,5,57,1,The Professionals,1977,1983,1,8,3482
tt0075592,9,112,1,Tales of the Unexpected,1979,1988,1,7.6,2347
tt0075596,8,174,1,Three's Company,1976,1984,1,7.5,16213
tt0077000,9,356,1,Dallas,1978,1991,1,7.1,15994
tt0077003,8,181,1,Diff'rent Strokes,1978,1986,1,6.6,12088
tt0077008,7,154,1,Fantasy Island,1977,1984,1,6.6,8691
