tconst,num_seasons,num_episodes,long.x,originalTitle,startYear,endYear,long.y,averageRating,numVotes
tt0044229,2,52,0,The Abbott and Costello Show,1952,1957,0,8.1,1299
tt0047739,4,156,0,Highway Patrol,1955,1959,0,7.7,1446
tt0047763,4,143,0,The Phil Silvers Show,1955,1959,0,8.4,1685
tt0050022,3,125,0,The Gumby Show,1956,1969,0,7,1562
tt0050033,3,13,0,The Lucy-Desi Comedy Hour,1957,1960,0,8.3,1229
tt0050079,3,82,0,Zorro,1957,1959,0,8.2,3948
tt0051283,4,70,0,The Huckleberry Hound Show,1958,1962,0,6.6,3815
tt0051297,4,138,0,Naked City,1958,1963,0,8.2,1362
tt0051301,3,114,0,Peter Gunn,1958,1961,0,8.1,1550
tt0051311,4,155,0,Sea Hunt,1958,1961,0,7.7,1362
tt0051327,3,94,0,Wanted: Dead or Alive,1958,1961,0,8,2647
tt0052442,3,97,0,One Step Beyond,1959,1961,0,7.8,1791
tt0052445,3,108,0,Bat Masterson,1958,1961,0,7.3,1154
tt0052461,4,146,0,Dennis the Menace,1959,1963,0,7,2447
tt0052481,4,124,0,Laramie,1959,1963,0,7.7,1393
tt0052490,4,148,0,The Many Loves of Dobie Gillis,1959,1963,0,7.7,1983
tt0052522,4,119,0,The Untouchables,1959,1963,0,8,2962
tt0053488,3,78,0,The Bugs Bunny Show,1960,1975,0,8.6,35089
tt0053534,4,116,0,Route 66,1960,1964,0,7.7,1877
tt0053546,2,67,0,Thriller,1960,1962,0,8.2,1592
tt0054528,2,60,0,"Car 54, Where Are You?",1961,1963,0,7.7,1821
tt0055657,3,93,0,The Alfred Hitchcock Hour,1962,1965,0,8.5,4993
tt0055683,3,75,0,The Jetsons,1962,1963,0,7,23056
tt0055689,4,138,0,McHale's Navy,1962,1966,0,7.4,3155
tt0056757,4,120,0,The Fugitive,1963,1967,0,8.1,4499
tt0056775,3,107,0,My Favorite Martian,1963,1966,0,7.2,2886
tt0056777,2,49,0,The Outer Limits,1963,1965,0,8.2,9015
tt0056778,3,105,0,The Patty Duke Show,1963,1966,0,7.2,1494
tt0057729,2,64,0,The Addams Family,1964,1966,0,8,21106
tt0057748,3,88,0,Flipper,1964,1967,0,6.3,2808
tt0057751,3,99,0,Gilligan's Island,1963,1967,0,7.4,16242
