tconst,num_seasons,num_episodes,long
tt0040021,2,65,0
tt0040036,2,82,0
tt0040042,3,82,0
tt0041005,2,25,0
tt0041015,3,163,0
tt0041016,4,78,0
tt0041018,2,52,0
tt0041022,2,29,0
tt0041030,2,52,0
tt0041034,2,44,0
tt0041037,4,160,0
tt0041044,2,20,0
tt0041049,3,100,0
tt0041050,3,137,0
tt0041065,4,52,0
tt0041068,2,22,0
tt0041071,2,2,0
tt0042070,4,106,0
tt0042080,3,95,0
tt0042081,4,79,0
tt0042084,2,35,0
tt0042089,2,88,0
tt0042092,3,58,0
tt0042097,3,23,0
tt0042100,2,48,0
tt0042105,2,24,0
tt0042106,4,121,0
tt0042107,2,62,0
tt0042113,2,16,0
tt0042117,2,55,0
tt0042119,4,88,0
tt0042138,2,52,0
tt0042139,3,98,0
tt0042144,3,47,0
tt0042145,3,64,0
tt0042148,2,76,0
tt0042149,2,4,0
tt0042151,4,130,0
tt0042156,4,90,0
tt0042167,4,211,0
tt0042172,2,57,0
tt0043169,4,105,0
tt0043175,4,78,0
tt0043182,2,58,0
tt0043186,2,54,0
tt0043187,2,60,0
tt0043199,4,170,0
tt0043206,2,61,0
tt0043215,2,64,0
tt0043223,3,78,0
tt0043232,4,72,0
tt0043238,2,85,0
tt0044229,2,52,0
tt0044243,3,73,0
tt0044245,2,59,0
tt0044249,4,105,0
tt0044263,4,130,0
tt0044264,2,49,0
tt0044268,2,26,0
tt0044269,3,98,0
tt0044274,2,17,0
tt0044276,4,124,0
tt0044277,2,57,0
tt0044279,4,116,0
tt0044281,3,39,0
tt0044283,4,126,0
tt0044287,4,130,0
tt0044289,2,52,0
tt0044290,2,32,0
tt0044301,2,40,0
tt0045370,2,6,0
tt0045378,2,64,0
tt0045379,4,37,0
tt0045380,2,79,0
tt0045383,3,17,0
tt0045397,3,117,0
tt0045407,2,40,0
tt0045411,2,92,0
tt0045412,2,39,0
tt0045414,2,77,0
tt0045418,3,96,0
tt0045419,3,100,0
tt0045430,2,93,0
tt0045447,2,78,0
tt0045455,2,61,0
tt0045460,3,38,0
tt0046578,3,81,0
tt0046584,3,72,0
tt0046585,2,40,0
tt0046587,4,166,0
tt0046610,2,78,0
tt0046613,2,50,0
tt0046614,2,3,0
tt0046616,3,89,0
tt0046623,2,59,0
tt0046628,2,70,0
tt0046629,2,28,0
tt0046637,3,38,0
tt0046638,2,70,0
tt0046643,4,32,0
tt0046645,2,28,0
tt0046646,2,69,0
tt0046647,2,39,0
tt0046648,4,138,0
tt0046652,3,597,0
tt0046660,2,78,0
tt0047702,2,37,0
tt0047706,4,144,0
tt0047707,2,52,0
tt0047713,2,53,0
tt0047714,2,724,0
tt0047715,2,2,0
tt0047717,2,65,0
tt0047724,2,78,0
tt0047726,2,53,0
tt0047727,2,40,0
tt0047731,2,12,0
tt0047732,2,27,0
tt0047738,2,39,0
tt0047739,4,156,0
tt0047745,3,96,0
tt0047755,3,28,0
tt0047756,3,576,0
tt0047757,3,331,0
tt0047760,3,64,0
tt0047762,3,104,0
tt0047763,4,143,0
tt0047767,2,78,0
tt0047773,2,52,0
tt0047780,2,65,0
tt0047781,3,52,0
tt0047783,2,26,0
tt0047784,2,4,0
tt0048840,2,76,0
tt0048847,3,6,0
tt0048848,2,72,0
tt0048855,2,49,0
tt0048863,4,127,0
tt0048865,2,26,0
tt0048868,2,32,0
tt0048885,2,39,0
